PDB,CDB,Oracle_Home,Compartment_Name,CDB_ID,Compartment_ID
PDB_FAKE_35,CDB_FAKE_16,mdoe-dbhome1-1920,CompartmentDemo,ocid1.database.oc1.eu-frankfurt-1.antheljrvwun52ia6fkji7z3leb3e5gnpw36xpshv7afhpkqvhfpfod3whda,ocid1.compartment.oc1..aaaaaaaaay4x2z23bzlup7o6gmksl5sbhxnc2st5ifq6sg4hxpdulXXXXX
PDB_FAKE_5,CDB_FAKE_43,ap-dbhome-19c,CompartmentDemo,ocid1.database.oc1.eu-frankfurt-1.antheljrvwun52ia6fbqwnmw67ne4xmmlwdslyoalidd2f4vf6eeuyx2etgq,ocid1.compartment.oc1..aaaaaaaaay4x2z23bzlup7o6gmksl5sbhxnc2st5ifq6sg4hxpdulXXXXX
PDB_FAKE_5,CDB_FAKE_44,sn-dbhome-19-19,CompartmentDemo,ocid1.database.oc1.eu-frankfurt-1.antheljrvwun52iafszcmd6opsh6zc7ew5vb6ijseuir3chizgt4iwumrmsq,ocid1.compartment.oc1..aaaaaaaaay4x2z23bzlup7o6gmksl5sbhxnc2st5ifq6sg4hxpdulXXXXX
PDB_FAKE_5,CDB_FAKE_45,JensHome_19c_001,CompartmentDemo,ocid1.database.oc1.eu-frankfurt-1.antheljrvwun52ia4hv5vaxhfsyyvujhasm34fapdadm3o7pvz44flwgjlma,ocid1.compartment.oc1..aaaaaaaaay4x2z23bzlup7o6gmksl5sbhxnc2st5ifq6sg4hxpdulXXXXX
PDB_FAKE_36,CDB_FAKE_11,OraHome58,CompartmentDemo,ocid1.database.oc1.eu-frankfurt-1.antheljrvwun52iaw23ldaxs6g2lxel3fawbyl5yt27hsk5chj7u4w75qg6q,ocid1.compartment.oc1..aaaaaaaaay4x2z23bzlup7o6gmksl5sbhxnc2st5ifq6sg4hxpdulXXXXX
PDB_FAKE_37,CDB_FAKE_46,RWHOME,CompartmentDemo,ocid1.database.oc1.eu-frankfurt-1.antheljrvwun52iafteqaw5cbq5fkkjegech2x3756obih6xwnacuq6d3ojq,ocid1.compartment.oc1..aaaaaaaaay4x2z23bzlup7o6gmksl5sbhxnc2st5ifq6sg4hxpdulXXXXX
PDB_FAKE_38,CDB_FAKE_47,JensHome_19c_001,CompartmentDemo,ocid1.database.oc1.eu-frankfurt-1.antheljrvwun52iaq7jlweprh6inbqt33rvoz3fdxv4ucdb56gg5wx5du2qq,ocid1.compartment.oc1..aaaaaaaaay4x2z23bzlup7o6gmksl5sbhxnc2st5ifq6sg4hxpdulXXXXX
PDB_FAKE_39,CDB_FAKE_44,sn-dbhome-19-19,CompartmentDemo,ocid1.database.oc1.eu-frankfurt-1.antheljrvwun52iafszcmd6opsh6zc7ew5vb6ijseuir3chizgt4iwumrmsq,ocid1.compartment.oc1..aaaaaaaaay4x2z23bzlup7o6gmksl5sbhxnc2st5ifq6sg4hxpdulXXXXX
PDB_FAKE_40,CDB_FAKE_16,mdoe-dbhome1-1920,CompartmentDemo,ocid1.database.oc1.eu-frankfurt-1.antheljrvwun52ia6fkji7z3leb3e5gnpw36xpshv7afhpkqvhfpfod3whda,ocid1.compartment.oc1..aaaaaaaaay4x2z23bzlup7o6gmksl5sbhxnc2st5ifq6sg4hxpdulXXXXX
PDB_FAKE_41,CDB_FAKE_22,ESDB19,CompartmentDemo,ocid1.database.oc1.eu-frankfurt-1.antheljrvwun52ia2sajcbvidu23bza43txevrlcf64yyz6326jhnbobsphq,ocid1.compartment.oc1..aaaaaaaaay4x2z23bzlup7o6gmksl5sbhxnc2st5ifq6sg4hxpdulXXXXX
PDB_FAKE_42,CDB_FAKE_22,ESDB19,CompartmentDemo,ocid1.database.oc1.eu-frankfurt-1.antheljrvwun52ia2sajcbvidu23bza43txevrlcf64yyz6326jhnbobsphq,ocid1.compartment.oc1..aaaaaaaaay4x2z23bzlup7o6gmksl5sbhxnc2st5ifq6sg4hxpdulXXXXX
PDB_FAKE_43,CDB_FAKE_16,mdoe-dbhome1-1920,CompartmentDemo,ocid1.database.oc1.eu-frankfurt-1.antheljrvwun52ia6fkji7z3leb3e5gnpw36xpshv7afhpkqvhfpfod3whda,ocid1.compartment.oc1..aaaaaaaaay4x2z23bzlup7o6gmksl5sbhxnc2st5ifq6sg4hxpdulXXXXX
PDB_FAKE_5,CDB_FAKE_48,aha_dbhome,CompartmentDemo,ocid1.database.oc1.eu-frankfurt-1.antheljrvwun52iashbhoxvpulswzqs2rqmkohlmh5kqxsfbm7ffaiumckka,ocid1.compartment.oc1..aaaaaaaaay4x2z23bzlup7o6gmksl5sbhxnc2st5ifq6sg4hxpdulXXXXX
PDB_FAKE_44,CDB_FAKE_49,TRGES1900,CompartmentDemo,ocid1.database.oc1.eu-frankfurt-1.antheljrvwun52iaz72dtire73ga6fhvfxjttcuhgqfvufxex3iks2vzlxra,ocid1.compartment.oc1..aaaaaaaaay4x2z23bzlup7o6gmksl5sbhxnc2st5ifq6sg4hxpdulXXXXX
PDB_FAKE_45,CDB_FAKE_29,ap-dbhome-23-4,CompartmentDemo,ocid1.database.oc1.eu-frankfurt-1.antheljrvwun52ianxvobiijsempl5uoljpxuppiqzv7ahifsqg677x3ai4q,ocid1.compartment.oc1..aaaaaaaaay4x2z23bzlup7o6gmksl5sbhxnc2st5ifq6sg4hxpdulXXXXX
PDB_FAKE_46,CDB_FAKE_46,RWHOME,CompartmentDemo,ocid1.database.oc1.eu-frankfurt-1.antheljrvwun52iafteqaw5cbq5fkkjegech2x3756obih6xwnacuq6d3ojq,ocid1.compartment.oc1..aaaaaaaaay4x2z23bzlup7o6gmksl5sbhxnc2st5ifq6sg4hxpdulXXXXX
PDB_FAKE_5,CDB_FAKE_30,RWHOME,CompartmentDemo,ocid1.database.oc1.eu-frankfurt-1.antheljrvwun52iaaof6tfk7jxujh6v35tgke2766htpaz2px6fzxllyl6oa,ocid1.compartment.oc1..aaaaaaaaay4x2z23bzlup7o6gmksl5sbhxnc2st5ifq6sg4hxpdulXXXXX
PDB_FAKE_4,CDB_FAKE_4,dbhome-23_4,CompartmentDemo,ocid1.database.oc1.eu-frankfurt-1.antheljrvwun52iagiolpmlwwhun3kaflnyfuvklvs4o23iyondao53kcfbq,ocid1.compartment.oc1..aaaaaaaaay4x2z23bzlup7o6gmksl5sbhxnc2st5ifq6sg4hxpdulXXXXX
PDB_FAKE_5,CDB_FAKE_50,DBHOME-Sanoj,CompartmentDemo,ocid1.database.oc1.eu-frankfurt-1.antheljrvwun52iai6noikv7ngr3hrzeqmiwzmpmpvic66gcwc2bxv336tbq,ocid1.compartment.oc1..aaaaaaaaay4x2z23bzlup7o6gmksl5sbhxnc2st5ifq6sg4hxpdulXXXXX
PDB_FAKE_47,CDB_FAKE_22,ESDB19,CompartmentDemo,ocid1.database.oc1.eu-frankfurt-1.antheljrvwun52ia2sajcbvidu23bza43txevrlcf64yyz6326jhnbobsphq,ocid1.compartment.oc1..aaaaaaaaay4x2z23bzlup7o6gmksl5sbhxnc2st5ifq6sg4hxpdulXXXXX
PDB_FAKE_21,CDB_FAKE_51,dbhome-dbmng,CompartmentDemo,ocid1.database.oc1.eu-frankfurt-1.antheljrvwun52iayojpr3mugoocjz2p6445i3aojlfwcceaem3fmku2nr3a,ocid1.compartment.oc1..aaaaaaaaay4x2z23bzlup7o6gmksl5sbhxnc2st5ifq6sg4hxpdulXXXXX
PDB_FAKE_5,CDB_FAKE_52,dbhome-dbsparse,CompartmentDemo,ocid1.database.oc1.eu-frankfurt-1.antheljrvwun52iacj2n4mnkhywnrm2locamp7zkounxroi2ugmnrhrtjx6q,ocid1.compartment.oc1..aaaaaaaaay4x2z23bzlup7o6gmksl5sbhxnc2st5ifq6sg4hxpdulXXXXX
PDB_FAKE_48,CDB_FAKE_53,qjhome,CompartmentDemo,ocid1.database.oc1.eu-frankfurt-1.antheljrvwun52iaudbjo65xwjo7rl5gl3ewijivxy4s7bkl2illgakxtzxa,ocid1.compartment.oc1..aaaaaaaaay4x2z23bzlup7o6gmksl5sbhxnc2st5ifq6sg4hxpdulXXXXX
PDB_FAKE_21,CDB_FAKE_54,fleetDemo_20250212115252015,CompartmentDemo,ocid1.database.oc1.eu-frankfurt-1.antheljrvwun52iadzsnotxqpbaoegtz6fjunidrwne4lma5ivfy2non6cta,ocid1.compartment.oc1..aaaaaaaaay4x2z23bzlup7o6gmksl5sbhxnc2st5ifq6sg4hxpdulXXXXX
